size,time
84,8.323800284415483e-05
85,0.00010350599768571556
86,8.853299368638545e-05
87,8.906899893190712e-05
88,8.657999569550157e-05
89,8.833599713398144e-05
90,9.04039989109151e-05
91,8.880799578037113e-05
92,0.00013869000395061448
93,0.00011910499597433954
94,9.821000276133418e-05
95,9.129200043389574e-05
96,0.00010046600073110312
97,0.00010516399925108999
98,0.00010094400204252452
99,0.00010055199527414516
100,0.00010624399874359369
101,0.00010572199971647933
102,0.00011895899660885334
103,0.0001044610035023652
104,0.00010943300003418699
105,0.0001150800017057918
106,0.00011914700007764623
107,0.00011424800322856754
108,0.00012208299449412152
109,0.00014118700346443802
110,0.00011511799675645307
111,0.0001145919959526509
112,0.00011299899779260159
113,0.00011234999692533165
114,0.00012067700299667194
115,0.00012622299982467666
116,0.0001239709963556379
117,0.00012261899973964319
118,0.00012587200035341084
119,0.00013483200018526986
120,0.00012641799548873678
121,0.00017405999824404716
122,0.0001369179954053834
123,0.00012922199675813317
124,0.0001299779978580773
125,0.00013242199929663911
126,0.00013426200166577473
127,0.0001342109972028993
128,0.0001336229979642667
129,0.00014335300511447713
130,0.00014252700202632695
131,0.00013991799642099068
132,0.00015328599693020806
133,0.00014743800420546904
134,0.00014369999553309754
135,0.00016000300092855468
136,0.00015780400281073526
137,0.00016327599587384611
138,0.0001504620013292879
139,0.0001567109939060174
140,0.00015379200340248644
141,0.00015432899817824364
142,0.00019879199680872262
143,0.00015261499356711283
144,0.00015340199752245098
145,0.00021606600057566538
146,0.0001581619944772683
147,0.00018620800256030634
148,0.00016592300380580127
149,0.00017188399942824617
150,0.0002498989997548051
151,0.0001653220024309121
152,0.0001930270009324886
153,0.0001789659945643507
154,0.00017195499822264537
155,0.00017412299348507077
156,0.0001782729959813878
157,0.00023669900110689923
158,0.00017242100147996098
159,0.00018087200442096218
160,0.0001735319965519011
161,0.00019250700279371813
162,0.00018792199989547953
163,0.0001818550008465536
164,0.00028328799817245454
165,0.0001832470006775111
166,0.0001810510002542287
167,0.0001974260012502782
168,0.00019210600294172764
169,0.00019489699479890987
170,0.00020328299433458596
171,0.0001912340012495406
172,0.00019817399879684672
173,0.00021516199922189116
174,0.00018975599959958345
175,0.00019847100338665769
176,0.00020979800319764763
177,0.00020276400027796626
178,0.00019639600213849917
179,0.0002564609967521392
180,0.00021648499387083575
181,0.0002146479964721948
182,0.0002560880020610057
183,0.00022606700076721609
184,0.00021661599748767912
185,0.0002037189988186583
186,0.0002084279985865578
187,0.00020704700000351295
188,0.00023484700068365782
189,0.0002087460015900433
190,0.00022376499691745266
191,0.00022193699987838045
192,0.00022044100478524342
193,0.0002891040057875216
194,0.00023939399397931993
195,0.00024399499670835212
196,0.0002416280040051788
197,0.00023090399918146431
198,0.00022392899700207636
199,0.00023950700415298343
200,0.00023856800544308499
201,0.0002420939999865368
202,0.00035697400016942993
203,0.0002244159986730665
204,0.0002257390005979687
205,0.0002360479993512854
206,0.0002390930021647364
207,0.00023708199296379462
208,0.0002512210048735142
209,0.00024533899704692885
210,0.00025662800180725753
211,0.00035760200262302533
212,0.00024123000184772536
213,0.00024417799431830645
214,0.0002707879975787364
215,0.0004335369958425872
216,0.00027248900005361065
217,0.0002674669958651066
218,0.0002549999990151264
219,0.0003568029933376238
220,0.0002548830016166903
221,0.0002657209988683462
222,0.00025937600003089756
223,0.0003574169968487695
224,0.0002778749985736795
225,0.0002721880009630695
226,0.0002791319930111058
227,0.00025488399842288345
228,0.0002754880042630248
229,0.00027332999889040366
230,0.0003480140003375709
231,0.00026513600460020825
232,0.00027204499929212034
233,0.0002870329990400933
234,0.0002769880011328496
235,0.0002744770026765764
236,0.00027938600396737456
237,0.0004250190031598322
238,0.000280454994936008
239,0.00030063799931667745
240,0.0003075019994867034
241,0.00028826200286857784
242,0.0002865739952540025
243,0.00029435500619001687
244,0.00028049400134477764
245,0.0002934120057034306
246,0.00033120800071628764
247,0.0003074529959121719
248,0.0003541810001479462
249,0.00030563600012101233
250,0.00029165000159991905
251,0.0003008659987244755
252,0.0003115110012004152
253,0.00028803399618482217
254,0.0003267209976911545
255,0.00033290799910901114
256,0.00030706100369570777
257,0.00031983300141291693
258,0.00031201099773170426
259,0.0003076409993809648
260,0.0003143170033581555
261,0.0003328439997858368
262,0.0003205250031896867
263,0.000341874998412095
264,0.00042771299922605976
265,0.00033453699870733544
266,0.0003365619995747693
267,0.0003154660007567145
268,0.0003622630028985441
269,0.0003418609994696453
270,0.0003347629972267896
271,0.00034616300399648026
272,0.0004708540000137873
273,0.00034829699870897457
274,0.0003543599959812127
275,0.00034666300052776933
276,0.0003767750022234395
277,0.00047013800212880597
278,0.0003433149977354333
279,0.00038310500531224534
280,0.0003575250011635944
281,0.0003638459966168739
282,0.00036648900277214125
283,0.0003328419988974929
284,0.0005376240005716681
285,0.0003795970042119734
286,0.0003865830003633164
287,0.00037203299871180207
288,0.0003704799964907579
289,0.0003547279993654229
290,0.0003818480035988614
291,0.00036755500332219526
292,0.0003862140001729131
293,0.00043035700218752027
294,0.0003672900056699291
295,0.0005165620023035444
296,0.0003898089998983778
297,0.0004056410034536384
298,0.0004483899974729866
299,0.00039322999509749934
300,0.00039871000626590103
301,0.00038669399509672076
302,0.00039937099791131914
303,0.0004070529976161197
304,0.0004091180016985163
305,0.00040407200140180066
306,0.00039984699833439663
307,0.00040047199581749737
308,0.0004009750045952387
309,0.00039522800216218457
310,0.0004085409964318387
311,0.00040192599408328533
312,0.0004758520008181222
313,0.00056038900220301
314,0.00042488799954298884
315,0.0005728870019083843
316,0.00040616899786982685
317,0.00040430499939247966
318,0.0004493529995670542
319,0.0004074930038768798
320,0.0004302609959268011
321,0.0004419959950610064
322,0.0005843330000061542
323,0.00043178899795748293
324,0.00044909899588674307
325,0.00043751500197686255
326,0.00042163000034634024
327,0.0004201039992040023
328,0.0004411490008351393
329,0.0005457900042529218
330,0.0004426160012371838
331,0.000452141001005657
332,0.0004545010015135631
333,0.00046198099880712107
334,0.00045445900468621403
335,0.00047860299673629925
336,0.0004516160042840056
337,0.0005788709968328476
338,0.0004558199943858199
339,0.0004420929981279187
340,0.000476811001135502
341,0.0004822310002055019
342,0.00043517100129975006
343,0.00046232099703047425
344,0.0004597629958880134
345,0.00045548499474534765
346,0.0004735569964395836
347,0.0004564420014503412
348,0.00046911899698898196
349,0.0004900279964203946
350,0.000476839006296359
351,0.0004920080027659424
352,0.0004743649988085963
353,0.00047663800069130957
354,0.00048404699919046834
355,0.0004664250009227544
356,0.0004605610010912642
357,0.0004837279993807897
358,0.000688517997332383
359,0.0005044060017098673
360,0.0004996509960619733
361,0.0005251730035524815
362,0.0004992389949620701
363,0.00048505199811188504
364,0.00047371200344059616
365,0.0011276930017629638
366,0.0005051650005043484
367,0.000512280996190384
368,0.0005217069992795587
369,0.0008243589982157573
370,0.0004906829999526963
371,0.0005188319992157631
372,0.000497633998747915
373,0.0006178830008138902
374,0.0005007090003346093
375,0.0004977639982826076
376,0.0005200739979045466
377,0.000485199001559522
378,0.000507654003740754
379,0.0005547629989450797
380,0.0005210279996390454
381,0.0005299460026435554
382,0.0004955670010531321
383,0.0005501449995790608
384,0.000535760002094321
385,0.0005171529992367141
386,0.0005516800010809675
387,0.0005200230007176287
388,0.0007362109972746111
389,0.0005994989987812005
390,0.0005516310047823936
391,0.000597162994381506
392,0.0005342149961506948
